RealValue,TestValue,Error,Fake,Percent,Guess
20,20,1110,false,0.0,False
20,20,1360,false,0.0,False
10,10,900,false,9.384392059046023,False
5,5,338,false,1.9464870543162578,False
5,5,640,false,10.239660903772736,False
10,10,1482,false,0.0,False
100,100,143,false,22.523530214159052,True
50,50,360,false,2.806948670134459,False
10,10,1393,false,0.0,False
50,50,186,false,9.218209986890717,False
10,10,669,false,0.6346300533943554,False
10,10,170,false,4.579528019288376,False
10,10,2222,false,0.0,False
10,10,1574,false,0.0,False
50,50,1811,false,0.0,False
10,10,704,false,6.038987452673738,False
5,5,824,false,0.5614377688951271,False
10,10,1882,false,0.0,False
5,5,1626,false,0.0,False
20,20,179,false,3.733500942803268,False
100,100,829,false,2.992572912263752,False
20,100,119,false,22.649212623938823,True
10,10,270,false,3.8707505890272635,False
100,100,1042,false,0.0,False
50,50,1409,false,0.0,False
100,100,165,false,16.956816640289397,False
10,10,260,false,3.506652692164212,False
100,100,126,false,9.96183417224404,False
5,5,1770,false,0.0,False
10,10,455,false,3.827882960413081,False
100,100,1388,false,0.0,False
10,10,198,false,5.694678356129885,False
100,100,695,false,0.13379872018615474,False
10,10,2315,false,0.0,False
50,50,43,true,194.4389654185092,True
5,100,36,true,192.29276090431605,True
100,100,70,true,170.4766879385915,True
20,100,60,true,170.33371169125994,True
20,20,105,true,185.7442865966646,True
10,10,40,true,192.8700855421179,True
5,5,56,true,186.60270286082022,True
50,50,46,true,187.36526384853315,True
5,5,42,true,154.36161561398754,True
20,0,34,true,-1,False
10,10,57,true,190.42447597360893,True
50,50,57,true,166.54741120238128,True
10,50,100,true,180.2832793894943,True
100,20,43,true,181.38195777351248,True
10,100,42,true,191.95710455764075,True
100,100,55,true,191.66666666666666,True
5,5,94,true,194.26048565121414,True
